"","genes","logFC","logCPM","F","PValue","FDR"
"36376","WNT5A",2.43627858329169,5.36745817123451,47.395800825695,6.27892706812575e-07,7.43267991689386e-05
"30204","PRKG2",-2.85757165456955,1.53633951695464,47.2394308288206,6.44036888936608e-07,7.55713045123392e-05
"36452","XPOT",1.25854999185236,5.71052656893745,47.2322409249958,6.44790011045091e-07,7.55713045123392e-05
"28774","ORC6",1.65454139452017,2.59924727312207,47.055289294833,6.63631366785769e-07,7.72520411415109e-05
"4754","DIAPH3",2.07970726015461,3.39861388814493,47.0365973674146,6.65656447428436e-07,7.72520411415109e-05
"24792","LRP8",2.18282624614951,3.84499821969105,46.9300898884235,6.77324874719905e-07,7.81884341832789e-05
"31693","S100P",3.78981216800382,5.56523728475007,46.9029818366037,6.80330198173409e-07,7.81884341832789e-05
"24404","LOC388796",1.5911160916122,2.78982900329886,46.8280364772712,6.88714962443441e-07,7.8334539411561e-05
"4246","CXCL10",2.44514591224511,3.15863227425578,46.8087997557985,6.90885273799637e-07,7.8334539411561e-05
"29164","PCSK2",-3.34440985837562,0.71699485909248,46.8031180417248,6.91527718564572e-07,7.8334539411561e-05
"21060","GRINA",1.05520183736316,5.20198007585237,46.7612497427579,6.96282011959871e-07,7.84975077769045e-05
"1061","ARID3A",1.26597995811734,3.00520763283805,46.5886890011062,7.16256709755143e-07,8.03667184997773e-05
"30272","PRR11",1.58150888031547,3.61526113899184,46.5411898408703,7.21864079995411e-07,8.0613830631563e-05
"29814","POLD2",1.35644494312422,5.21644613262957,46.4780513942927,7.29391972209052e-07,8.09074613426188e-05
"33445","SOX9",1.74755910129667,5.68027659483501,46.4619260908692,7.31328267257463e-07,8.09074613426188e-05
"33602","SPNS2",1.51743657834421,4.78034485568976,46.3172141311138,7.48958161276059e-07,8.24724858986544e-05
"26945","MMP12",2.77126365869932,4.86631868677855,46.1433880892037,7.70750473353066e-07,8.44792474844159e-05
"5519","ENSG00000110347.7",2.77017261528316,4.86687159103237,46.1115129528142,7.7482117587532e-07,8.45340614693465e-05
"4245","CXCL1",3.8021736414805,5.57403183529544,46.0394323893085,7.84113189483514e-07,8.48563262466475e-05
"3149","CDK4",1.04515342361289,5.43811153544469,46.0110586338884,7.87804182778482e-07,8.48563262466475e-05
"3068","CDC25B",1.86567754644112,5.20121565461175,46.0055142393816,7.88527635660505e-07,8.48563262466475e-05
"3220","CEBPB",1.55728398943176,5.88838716263354,45.9463808407506,7.96288831357773e-07,8.51425485359383e-05
"29579","PKMYT1",2.0714732952877,3.443517482026,45.9203037923884,7.99737863994429e-07,8.51425485359383e-05
"30494","PTK7",2.13776588089146,5.56030969473217,45.8917349237304,8.03535192991456e-07,8.51425485359383e-05
"33784","ST3GAL2",1.04457643658358,4.88645606685697,45.8519378779083,8.08857780855463e-07,8.51425485359383e-05
"30466","PTGDR2",-1.71285540726404,2.57112377583064,45.7880128357571,8.17488021072578e-07,8.51425485359383e-05
"35770","UBFD1",0.81828000980002,5.41681511388852,45.7745453307979,8.19318992532253e-07,8.51425485359383e-05
"28339","OLR1",4.49649868024448,1.88515083956145,45.7463623343482,8.23165100827773e-07,8.51425485359383e-05
"29363","PGF",2.26149029606674,2.68987590741541,45.7364552718165,8.24521784555604e-07,8.51425485359383e-05
"24881","LRRN2",-2.19045546416937,2.82962080924082,45.700941787812,8.29405122376971e-07,8.51425485359383e-05
"24725","LOXL2",2.1993348192042,4.86274886215217,45.6891875416436,8.31028352089445e-07,8.51425485359383e-05
"22331","ITGA11",1.61571194243144,3.45670457579121,45.6801732089864,8.32275555466933e-07,8.51425485359383e-05
"5085","DSN1",1.25399758065183,3.85164686525932,45.6652626641101,8.3434303105967e-07,8.51425485359383e-05
"31580","RRP1",1.18991926329437,3.93151702428709,45.5351681181697,8.52621354982411e-07,8.64687975356331e-05
"8568","ENSG00000231172.2",2.60940709642754,-0.852917785749598,45.5209588248299,8.54644081239203e-07,8.64687975356331e-05
"3144","CDK2",1.09557188212403,4.38345108559199,45.4784789539177,8.60722478501475e-07,8.66831767472922e-05
"35931","URB2",1.50652156002573,4.77081478663926,45.4551147302964,8.64085732306694e-07,8.66831767472922e-05
"36200","VWA2",2.07387171147126,3.82824847034273,45.4291987018725,8.67833097481352e-07,8.66917661724515e-05
"27765","NEUROD1",-3.05518390570192,-0.285553823429268,45.2841067722435,8.89143111761102e-07,8.83087334539148e-05
"4338","CYP27B1",1.57175069697122,0.758149257340804,45.2684275245549,8.91479928003617e-07,8.83087334539148e-05
"35384","TROAP",1.85932346897471,2.57927170117899,45.1616110023825,9.0757917894325e-07,8.92245130149477e-05
"30729","RACGAP1",1.59846770062803,4.86436755628127,45.1397177889714,9.10917911517725e-07,8.92245130149477e-05
"27735","NEK2",2.07002074786343,3.5745556392868,45.1324388306152,9.12030925010236e-07,8.92245130149477e-05
"34768","TMEM158",2.23515611546358,2.36029180050709,45.0234847054311,9.28869468272791e-07,8.98742701868887e-05
"2054","C19orf48",1.52911874265057,5.09706260903521,45.0180324351883,9.29720966348805e-07,8.98742701868887e-05
"21007","GPT2",1.85753089928391,4.74279110592806,45.0158561246271,9.30061085355343e-07,8.98742701868887e-05
"27096","MRPL17",1.18119370641873,4.83742969683236,44.9781915137779,9.3596895774482e-07,9.00775003032871e-05
